,Agency,Mode,TOS,Active,Reporter Type,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,Most Recent Report Year,FY End Month,FY End Year,Passenger Miles FY,Unlinked Passenger Trips FY,Average Trip Length FY,Fares FY,Operating Expenses FY,Average Cost per Trip FY,Average Fares per Trip FY
48,Ben Franklin Transit,DR,PT,Active,Full Reporter,Richland,WA,171,"Kennewick-Pasco, WA",102.0,210975.0,616.0,283830.0,2017.0,12.0,2017.0,614116.0,73612.0,8.3426,33505.0,1365133.0,18.545,0.4552
49,Ben Franklin Transit,DT,PT,Active,Full Reporter,Richland,WA,171,"Kennewick-Pasco, WA",102.0,210975.0,616.0,283830.0,2017.0,12.0,2017.0,855616.0,107920.0,7.9282,129090.0,2062624.0,19.1125,1.1962
50,Ben Franklin Transit,MB,DO,Active,Full Reporter,Richland,WA,171,"Kennewick-Pasco, WA",102.0,210975.0,616.0,283830.0,2017.0,12.0,2017.0,9195230.0,2184099.0,4.2101,1483642.0,15423139.0,7.0616,0.6793
51,Ben Franklin Transit,VP,DO,Active,Full Reporter,Richland,WA,171,"Kennewick-Pasco, WA",102.0,210975.0,616.0,283830.0,2017.0,12.0,2017.0,21608245.0,643216.0,33.5941,1877932.0,2574147.0,4.002,2.9196
52,Intercity Transit,CB,DO,Active,Full Reporter,Olympia,WA,195,"Olympia-Lacey, WA",106.0,176617.0,101.0,178328.0,2017.0,12.0,2017.0,3694183.0,162560.0,22.725,219148.0,2750422.0,16.9194,1.3481
53,Intercity Transit,DR,DO,Active,Full Reporter,Olympia,WA,195,"Olympia-Lacey, WA",106.0,176617.0,101.0,178328.0,2017.0,12.0,2017.0,1084837.0,175596.0,6.178,273955.0,9717186.0,55.3383,1.5601
54,Intercity Transit,MB,DO,Active,Full Reporter,Olympia,WA,195,"Olympia-Lacey, WA",106.0,176617.0,101.0,178328.0,2017.0,12.0,2017.0,13483613.0,3761602.0,3.5845,2316371.0,23309754.0,6.1968,0.6158
55,Intercity Transit,VP,DO,Active,Full Reporter,Olympia,WA,195,"Olympia-Lacey, WA",106.0,176617.0,101.0,178328.0,2017.0,12.0,2017.0,19953650.0,550202.0,36.266,1434951.0,1646017.0,2.9917,2.608
56,Kitsap Transit,DR,DO,Active,Full Reporter,Bremerton,WA,180,"Bremerton, WA",136.0,198979.0,396.0,254183.0,2017.0,12.0,2017.0,1769654.0,283463.0,6.243,266329.0,11152275.0,39.343,0.9396
57,Kitsap Transit,DT,PT,Active,Full Reporter,Bremerton,WA,180,"Bremerton, WA",136.0,198979.0,396.0,254183.0,2017.0,12.0,2017.0,12428.0,1999.0,6.2171,422.0,60845.0,30.4377,0.2111
58,Kitsap Transit,FB,DO,Active,Full Reporter,Bremerton,WA,180,"Bremerton, WA",136.0,198979.0,396.0,254183.0,2017.0,12.0,2017.0,1835293.0,118406.0,15.5,398573.0,3156299.0,26.6566,3.3662
59,Kitsap Transit,FB,PT,Active,Full Reporter,Bremerton,WA,180,"Bremerton, WA",136.0,198979.0,396.0,254183.0,2017.0,12.0,2017.0,775413.0,499589.0,1.5521,601182.0,1862549.0,3.7282,1.2034
60,Kitsap Transit,MB,DO,Active,Full Reporter,Bremerton,WA,180,"Bremerton, WA",136.0,198979.0,396.0,254183.0,2017.0,12.0,2017.0,13232728.0,2533304.0,5.2235,4023907.0,21414294.0,8.4531,1.5884
