,FuelCode,StationName,Address,City,State_ABRR,Location,ZIP,Latitude,Longitude
8644,ELEC,Ralph's Thriftway Classic Creations,1910 E 4th Ave,Olympia,WA,WASHINGTON,98501,47.0460523,-122.87487279999999
8645,ELEC,NATIONAL GRID,100 Institute Rd,Worcester,MA,MASSACHUSETTS,1609,42.2754059,-71.8079529
8646,ELEC,Wilson Nissan,328 N Main St,Logan,UT,UTAH,84321,41.737796,-111.83401
8647,ELEC,AVAGO,1310 Ridder Park Dr,San Jose,CA,CALIFORNIA,95131,37.3854073,-121.900198
8648,ELEC,GA TECH,81 4th St NW,Atlanta,GA,GEORGIA,30308,33.7751273,-84.3894052
8649,LPG,Ephrata WoGo,1634 W Main St,Ephrata,PA,PENNSYLVANIA,17522,40.198415999999995,-76.20404
8650,CNG,Waste Management - Denver South,2400 W Union Ave,Englewood,CO,COLORADO,80110,39.6298331,-105.0166188
8651,ELEC,CENTER BMW,5201 Van Nuys Blvd,Los Angeles,CA,CALIFORNIA,91401,34.1653116,-118.44915139999999
8652,ELEC,City of Palm Springs - Visitors Center,Indian Canyon & Tram Rd,Palm Springs,CA,CALIFORNIA,92262,33.858371999999996,-116.558122
8653,ELEC,LIBERTY,933 Eloise Ave,South Lake Tahoe,CA,CALIFORNIA,96150,38.916729700000005,-120.0053946
8654,ELEC,Lamar Institute of Technology,855 Lavaca St,Beaumont,TX,TEXAS,77705,30.04743958,-94.07686615
8655,LNG,Clean Energy - Coachella Indio,45-601 Dillon Rd,Coachella,CA,CALIFORNIA,92236,33.718112,-116.169747
8656,ELEC,Mesa Arts Center,1 E Main Street,Mesa,AZ,ARIZONA,85201,33.414929,-111.829575
8657,ELEC,Kwik Trip #875,2611 Bridge Ave,Albert Lea,MN,MINNESOTA,56007,43.6826953,-93.3589401
