,Unique ID,FacilityName,Rank_TRI_14,Rank_GHG_14,Latitude,Longitude,LocationAddress,City,Location,ZIP,County,FIPScode,IndustryType,GHG_Direct_Emissions_14_in_metric_tons,GHG_Direct_Emissions_13_in_metric_tons,GHG_Direct_Emissions_12_in_metric_tons,GHG_Direct_Emissions_11_in_metric_tons,GHG_Direct_Emissions_10_in_metric_tons
808,1.10E+11,SUNCOR ENERGY USA - DENVER (PREV. COLORADO REFINING CO.),1965.0,662.0,39.805556,-104.94444399999999,5800 BRIGHTON BLVD,COMMERCE CITY,COLORADO,80022,ADAMS,8001.0,"Petroleum Product Suppliers,Refineries",921122,964061,895791,749614,801425
809,1.10E+11,PUBLIC SERVICE COMPANY OF COLORADO CHEROKEE STATION,2733.0,216.0,39.807769,-104.964802,6198 FRANKLIN ST,DENVER,COLORADO,80216,ADAMS,8001.0,Power Plants,3268697,3035373,3062109,4408982,4000503
819,80302PBLCS1800N,Valmont,4863.0,570.0,40.0197,-105.20200000000001,1800 N 63RD ST,BOULDER,COLORADO,80301,BOULDER,8013.0,Power Plants,1110275,1108552,1094555,1066130,1116636
820,1.10E+11,CEMEX CONSTRUCTION MATERIALS SOUTH LLC,10389.0,1180.0,40.202236,-105.23669699999999,5134 UTE HIGHWAY,LONGMONT,COLORADO,80503,BOULDER,8013.0,Minerals,362317,289195,372672,346965,347359
835,1.10E+11,COLORADO SPRINGS UTILITIES RAY NIXON POWER PLANT,1607.0,486.0,38.633444,-104.707806,14020 RAY NIXON ROAD,FOUNTAIN,COLORADO,80817,EL PASO,8041.0,Power Plants,1400503,1689156,1537197,1509658,1735251
836,1.10E+11,COLORADO SPRINGS UTILITIES MARTIN DRAKE POWER PLANT,1690.0,498.0,38.8244,-104.8331,700 CONEJOS ST,COLORADO SPRINGS,COLORADO,80903,EL PASO,8041.0,Power Plants,1354055,1695726,1619701,1703839,1798536
843,1.10E+11,PORTLAND PLANT,793.0,620.0,38.386936,-105.039244,3500 EAST STATE HIGHWAY 120,FLORENCE,COLORADO,81226,FREMONT,8043.0,Minerals,1004992,797332,680816,618846,694337
861,1.10E+11,COLORADO ENERGY NATIONS COMPANY,1386.0,1067.0,39.760555,-105.215,1003-VASQUEZ ST,GOLDEN,COLORADO,804010088,JEFFERSON,8059.0,Power Plants,434195,482343,560101,573381,602290
877,1.10E+11,"ANHEUSER-BUSCH, INC.",2870.0,3956.0,40.617825,-105.00185800000001,2351 BUSCH DR,FORT COLLINS,COLORADO,80524,LARIMER,8069.0,"Other,Suppliers of CO2",50493,53331,54166,56523,60189
878,1.10E+11,RAWHIDE ENERGY STATION,4300.0,327.0,40.860040000000005,-105.02691000000002,2700 E COUNTY RD 82,WELLINGTON,COLORADO,805492105,LARIMER,8069.0,Power Plants,2173850,2307680,2069813,2148527,2115959
894,1.10E+11,WESTERN SUGAR COOPERATIVE,991.0,2056.0,40.261207,-103.809929,18317 HIGHWAY 144,FORT MORGAN,COLORADO,80701,MORGAN,8087.0,Minerals,134853,119812,118791,112252,121574
